ID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd
AE,50.91,49.25,3.85,8.38
AF,46.17,44.91,0.88,3.31
AG,4.97,5.09,1.07,2.10
AI,4.62,4.62,2.91,2.91
AL,14.04,16.06,2.27,5.55
AL0,14.03,15.21,2.29,5.38
AL01,15.26,13.88,2.40,3.82
AL011,16.36,16.60,2.17,3.00
AL012,15.30,15.31,2.56,3.70
AL013,14.48,13.43,2.47,3.38
AL014,14.95,15.05,2.25,3.08
AL015,14.13,12.25,2.86,4.60
AL02,13.98,17.20,2.54,7.26
AL021,13.91,16.37,2.46,4.39
AL022,14.15,17.43,2.69,8.05
AL03,12.99,13.40,2.09,3.93
AL031,13.28,13.65,2.27,3.61
AL032,13.12,13.68,1.95,3.41
AL033,13.66,14.91,2.50,4.76
AL034,12.61,11.44,1.65,3.52
AL035,12.47,12.60,2.05,3.02
AM,16.13,20.35,3.24,7.65
AO,16.51,16.36,0.54,4.67
AR,6.33,7.18,2.10,6.61
AS,1.72,1.72,,
AT,13.20,14.87,4.73,7.33
AT1,14.90,16.50,6.17,8.81
AT11,15.35,15.21,6.21,6.32
AT111,15.07,15.14,5.57,5.65
AT112,16.16,15.68,7.18,6.97
AT113,14.60,14.53,5.47,5.61
AT12,14.76,15.64,6.05,7.04
AT121,13.50,14.17,4.82,5.80
AT122,13.86,14.89,4.43,6.28
AT123,14.69,15.37,5.84,6.09
AT124,13.87,14.26,5.71,6.26
AT125,16.61,16.63,7.73,7.72
AT126,16.50,16.75,7.81,7.81
AT127,16.11,16.45,7.72,8.14
AT13,17.48,17.52,11.24,10.90
AT130,17.48,17.52,11.24,10.90
AT2,12.44,13.49,3.95,5.70
AT21,12.31,13.01,3.26,4.18
AT211,12.82,13.59,3.87,4.77
AT212,12.20,12.43,3.00,3.63
AT213,12.14,12.40,3.24,3.53
AT22,12.52,13.70,4.34,6.36
AT221,13.04,14.51,5.84,7.95
AT222,11.67,11.59,3.45,3.69
AT223,12.59,13.05,4.13,5.35
AT224,13.66,13.76,5.79,6.04
AT225,13.06,13.80,4.37,5.51
AT226,11.51,12.15,3.39,4.88
AT3,12.54,13.28,4.31,5.67
AT31,13.31,14.39,5.58,6.99
AT311,13.89,14.07,7.12,6.84
AT312,14.59,15.65,7.72,8.95
AT313,13.51,13.68,5.49,5.90
AT314,12.35,13.33,3.63,5.10
AT315,12.36,13.00,4.07,4.59
AT32,11.99,13.10,3.82,5.19
AT321,11.58,11.43,3.65,3.70
AT322,11.95,11.91,3.62,4.09
AT323,12.31,13.77,4.45,5.82
AT33,12.22,12.64,3.54,4.33
AT331,11.36,11.27,4.21,4.42
AT332,12.80,13.26,3.71,4.72
AT333,12.26,12.32,3.28,4.82
AT334,12.11,11.89,3.52,4.07
AT335,12.28,12.44,3.38,3.83
AT34,11.93,10.56,3.69,4.28
AT341,11.82,11.82,3.35,3.27
AT342,12.28,10.12,4.62,4.63
AU,4.49,5.69,0.67,5.57
AW,6.36,6.25,2.54,3.87
AX,5.46,5.45,2.22,3.04
AZ,18.45,19.16,2.32,4.72
BA,16.84,17.99,2.80,3.45
BB,6.09,6.08,3.94,4.78
BD,68.75,72.71,3.46,5.71
BE,13.87,14.73,7.78,9.86
BE1,15.01,14.89,15.15,15.70
BE10,15.01,14.89,15.15,15.70
